stats_overall_1_counterHitRatio_ratio,stats_actionCounts_1_wavedashCount,stats_actionCounts_0_wavelandCount,stats_overall_1_openingsPerKill_ratio,stats_overall_0_inputCount,stats_overall_0_openingsPerKill_count,stats_overall_1_totalDamage,stats_actionCounts_0_wavedashCount,stats_overall_1_killCount,stats_actionCounts_1_airDodgeCount,stats_actionCounts_0_airDodgeCount,stats_overall_0_inputsPerMinute_count,stats_overall_1_inputCount,stats_overall_0_neutralWinRatio_count,stats_overall_1_neutralWinRatio_count,stats_actionCounts_0_dashDanceCount,stats_overall_0_openingsPerKill_ratio,stats_actionCounts_0_rollCount,stats_overall_0_counterHitRatio_ratio,stats_actionCounts_0_spotDodgeCount,stats_overall_1_conversionCount,stats_overall_1_beneficialTradeRatio_count,stats_overall_0_damagePerOpening_ratio,stats_overall_1_damagePerOpening_ratio,stats_actionCounts_1_dashDanceCount,stats_overall_0_killCount,stats_overall_0_conversionCount,stats_overall_0_beneficialTradeRatio_count,settings_players_1_characterId,stats_actionCounts_1_wavelandCount,settings_stageId,stats_overall_1_inputsPerMinute_count,stats_overall_0_totalDamage,stats_actionCounts_1_rollCount,stats_actionCounts_1_spotDodgeCount,stats_overall_1_inputsPerMinute_ratio,settings_players_0_characterId,stats_overall_0_inputsPerMinute_ratio,stats_overall_1_openingsPerKill_count,stats_overall_1_inputsPerMinute_total,stats_overall_0_inputsPerMinute_total
0.6,11,3,5.75,872,18,366.1155396,19,4,0,0,872,898,8,9,79,9,1,0.4,3,23,2,18.28994412,15.91806694,12,2,18,0,15,3,28,898,329.2189941,3,0,340.5456652,2,330.6857685,23,2.636944444,2.636944444
0.444444444,10,2,3.25,530,14,329.1399918,19,4,1,0,530,800,9,9,35,7,3,0.555555556,1,13,0,21.25142779,25.3184609,15,2,14,0,15,1,2,800,297.519989,3,0,392.8522712,9,260.2646297,13,2.036388889,2.036388889
0.5625,2,4,4.5,748,18,296.8499985,13,4,0,1,748,973,11,9,46,6,6,0.4375,0,18,0,23.21166653,16.49166658,1,3,18,0,15,1,2,973,417.8099976,5,3,370.1965758,9,284.5909956,18,2.628333333,2.628333333
0.466666667,11,1,4.75,810,22,473.8999863,18,4,2,1,810,1151,13,11,56,7.333333333,10,0.533333333,0,19,0,13.56607264,24.94210454,25,3,22,1,15,2,32,1151,298.453598,8,2,365.5580062,9,257.2562858,19,3.148611111,3.148611111
0.608695652,12,1,6,995,25,471.3300018,30,4,1,1,995,1333,16,10,41,8.333333333,6,0.391304348,2,24,0,18.13319977,19.63875008,22,3,25,0,15,4,32,1333,453.3299942,2,3,366.7966063,9,273.790415,24,3.634166667,3.634166667
0.5,19,22,8.25,1249,28,485.8200073,27,4,1,2,1249,1626,12,17,79,9.333333333,6,0.5,2,33,0,16.83785629,14.7218184,32,3,28,0,15,7,8,1626,471.4599762,5,1,364.0977794,9,279.6790446,33,4.465833333,4.465833333
0.444444444,7,11,9.333333333,1298,33,399.3399925,38,3,3,3,1298,1614,18,16,77,8.25,11,0.555555556,2,28,0,17.09404778,14.26214259,11,4,33,0,15,3,31,1614,564.1035767,7,1,341.0859994,9,274.3058409,28,4.731944444,4.731944444
0.583333333,7,11,5,635,14,124.7399979,10,2,1,1,635,456,8,2,6,3.5,0,0.416666667,0,10,0,35.61214447,12.47399979,1,4,14,1,20,0,28,456,498.5700226,2,0,248.8781079,20,346.573681,10,1.832222222,1.832222222
0.5,6,3,2.75,582,16,164.8700037,10,4,2,2,582,527,9,4,2,5.333333333,0,0.5,4,11,0,27.59437466,14.98818215,2,3,16,0,20,1,2,527,441.5099945,1,1,267.550416,20,295.473135,11,1.969722222,1.969722222
0.565217391,5,8,5,946,25,366.5399857,27,4,3,4,946,1116,15,7,82,12.5,4,0.434782609,1,20,0,17.08000031,18.32699928,8,2,25,0,15,5,28,1116,427.0000076,6,1,317.1205304,9,268.8136396,20,3.519166667,3.519166667
0.25,4,3,2,312,8,98.19999695,6,4,0,0,312,284,3,5,4,4,2,0.75,3,8,1,22.75000191,12.27499962,8,2,8,1,2,1,3,284,182.0000153,0,0,221.2029424,20,243.0116833,8,1.283888889,1.283888889
0.588235294,11,5,4.75,961,25,306.3500061,17,4,2,0,961,903,16,7,18,8.333333333,2,0.411764706,4,19,0,20.66840027,16.12368453,37,3,25,2,2,9,31,903,516.7100067,2,1,291.1077281,20,309.8056774,19,3.101944444,3.101944444
0.416666667,34,27,5,1256,17,463.5500107,20,4,2,5,1256,1288,10,15,9,8.5,2,0.583333333,1,20,0,17.00176463,23.17750053,97,2,17,0,9,5,31,1288,289.0299988,6,1,404.6779543,25,394.6238436,20,3.182777778,3.182777778
0.5,10,6,4.5,584,14,365.2600021,16,4,1,0,584,785,7,11,36,7,3,0.5,0,18,0,20.70871408,20.29222234,12,2,14,0,15,2,3,785,289.9219971,2,0,363.5194237,9,270.439928,18,2.159444444,2.159444444
0.666666667,15,15,4.5,937,10,468.9699936,14,4,0,2,937,971,6,10,6,10,0,0.333333333,0,18,0,19.33300018,26.05388853,38,1,10,0,9,4,8,971,193.3300018,5,0,389.4818942,25,375.8440111,18,2.493055556,2.493055556
0.363636364,39,25,8,1508,20,505.2600098,22,3,1,4,1508,1543,11,18,10,5,3,0.636363636,1,24,0,15.09850092,21.05250041,87,4,20,2,9,7,8,1543,301.9700184,11,1,415.3742616,25,405.9522919,24,3.714722222,3.714722222
0.461538462,3,1,12,1085,20,167.6200027,15,1,2,2,1085,916,12,5,12,5,0,0.538461538,0,12,1,25.90349884,13.96833356,23,4,20,0,0,4,28,916,518.0699768,7,2,349.0262489,20,413.4208298,12,2.624444444,2.624444444
0.375,3,4,4.5,595,10,165.7999954,2,2,1,1,595,556,5,6,5,2.5,0,0.625,2,9,0,30.83700027,18.42222171,19,4,10,0,0,3,31,556,308.3700027,6,1,350.4815269,20,375.0656628,9,1.586388889,1.586388889
0.5,50,1,5.666666667,1008,21,311.9340134,16,3,6,2,1008,968,13,9,52,5.25,4,0.5,0,17,0,19.83047667,18.34905961,7,4,21,0,7,10,32,968,416.4400101,3,4,317.7242888,0,330.8533917,17,3.046666667,3.046666667
0.5,16,3,4.5,1022,24,416.3351402,6,4,3,1,1022,1047,12,6,2,8,1,0.5,3,18,0,17.15083408,23.12973001,7,3,24,0,25,15,8,1047,411.620018,5,1,372.4873999,20,363.5932404,18,2.810833333,2.810833333
0.7,12,3,6.333333333,1292,24,324.0299911,8,3,1,1,1292,1177,17,4,7,6,1,0.3,3,19,0,24.50750128,17.05421006,37,4,24,1,0,3,3,1177,588.1800308,11,1,355.4996225,20,390.23408,19,3.310833333,3.310833333
0.333333333,11,5,8,701,15,118.1900024,31,1,2,1,701,783,12,6,6,3.75,3,0.666666667,3,8,0,25.7106664,14.77375031,60,4,15,1,0,3,28,783,385.659996,9,1,383.405876,19,343.2535365,8,2.042222222,2.042222222
0.545454545,13,1,11.5,1288,29,344.5500031,8,2,5,1,1288,1298,19,11,6,7.25,5,0.454545455,2,23,0,18.31655121,14.98043492,16,4,29,0,25,20,3,1298,531.179985,12,1,349.4204741,20,346.7284828,23,3.714722222,3.714722222
