id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
113,11,3.537222222,1619,20,143,6,1619,15,49,5,2,0.5,3,18.34800034,4,20,0,15,8,366.9600067,14,457.7037851
114,6,3.368333333,1729,22,75,2,1729,13,176,5.5,3,0.666666667,3,17.07818118,4,22,1,15,31,375.719986,2,513.3102425
115,1,0.644444444,375,0,15,0,375,0,71,None,0,None,0,None,0,0,0,0,31,0,12,581.8965517
116,2,1.838888889,630,9,15,1,630,6,22,9,7,0.428571429,2,16.52403132,1,9,0,15,2,148.7162819,20,342.5981873
117,0,0.014722222,0,0,0,0,0,0,0,None,0,None,0,None,0,0,0,20,32,0,2,0
118,5,4.631666667,2077,26,16,7,2077,15,73,6.5,12,0.5,9,21.26762155,4,26,1,0,28,552.9581604,12,448.4346887
119,9,2.663055556,1354,20,10,1,1354,12,51,5,5,0.533333333,2,23.03499947,4,20,0,20,3,460.6999893,2,508.4385105
120,8,3.832777778,2053,24,28,3,2053,13,21,8,16,0.642857143,4,18.41375097,3,24,0,2,31,441.9300232,20,535.6428468
121,7,3.715,2028,29,28,3,2028,19,19,7.25,12,0.476190476,3,18.14034587,4,29,0,2,28,526.0700302,20,545.8950202
122,4,3.03,1559,21,15,6,1559,13,8,10.5,9,0.571428571,2,13.20142873,2,21,0,2,3,277.2300034,20,514.5214521
123,3,3.655,1837,24,28,1,1837,12,104,6,1,0.611111111,3,22.34424973,4,24,1,0,31,536.2619934,12,502.5991792
124,10,2.283888889,976,15,11,1,976,8,31,7.5,0,0.461538462,1,14.84666646,2,15,0,20,31,222.6999969,2,427.3412795
125,13,2.699166667,1277,22,20,1,1277,15,45,5.5,3,0.4375,2,20.39749978,4,22,0,20,3,448.7449951,2,473.1089843
126,7,2.1975,997,20,8,4,997,15,39,10,3,0.5,1,13.56700001,2,20,0,20,8,271.3400002,2,453.6973834
127,4,3.116944444,1003,24,23,4,1003,17,16,6,9,0.5,4,21.9437507,4,24,0,7,3,526.6500168,19,321.7895018
128,10,2.720833333,626,16,26,0,626,6,5,16,3,0.5625,1,14.50000048,1,16,1,2,31,232.0000076,19,230.0765697
129,6,2.998888889,932,19,16,3,932,13,14,4.75,2,0.428571429,7,24.97894729,4,19,0,7,31,474.5999985,19,310.781771
130,7,2.39,509,14,19,0,509,5,1,7,4,0.571428571,0,14.58428519,2,14,0,2,8,204.1799927,19,212.9707113
131,2,3.191944444,935,23,19,3,935,11,11,7.666666667,12,0.611111111,2,13.76608708,3,23,1,0,31,316.6200027,19,292.9248977
132,1,2.286666667,690,11,6,1,690,7,1,None,8,0.428571429,2,10.60818204,0,11,0,0,3,116.6900024,19,301.7492711
133,5,3.718333333,995,30,21,4,995,22,3,7.5,4,0.4375,1,15.8136055,4,30,0,0,31,474.408165,19,267.5930076
134,6,2.718888889,1206,17,46,2,1206,8,21,5.666666667,2,0.533333333,0,12.16529353,3,17,0,19,28,206.8099899,9,443.5635472
